CICLO,CODIGO,CURSO,GRUPO,DOCENTE,T,P,L,C
I,EE-101,Introducción a la Ingeniería de Sistemas,G1 (Teoria),22222222,1,0,0,0
I,EE-101,Introducción a la Ingeniería de Sistemas,G1 (Practica),22222222,0,2,0,0
I,EE-102,Introducción a la Programación,G1 (Teoria),11111111,2,0,0,0
I,EE-102,Introducción a la Programación,G4 (Laboratorio),33333333,0,0,2,0
I,EE-102,Introducción a la Programación,G1 (Laboratorio),11111111,0,0,2,0
I,EE-102,Introducción a la Programación,G3 (Laboratorio),33333333,0,0,2,0
I,EE-102,Introducción a la Programación,G2 (Laboratorio),11111111,0,0,2,0
I,EG-101,Desarrollo del Pensamiento Lógico Matemático,G1 (Teoria),55555555,1,0,0,0
I,EG-101,Desarrollo del Pensamiento Lógico Matemático,G1 (Practica),55555555,0,4,0,0
I,EG-102,Lectura Crítica y Redacción de Textos Académicos,G1 (Teoria),66666666,2,0,0,0
I,EG-102,Lectura Crítica y Redacción de Textos Académicos,G1 (Practica),66666666,0,2,0,0
I,EG-103,Desarrollo Personal,G1 (Teoria),44444444,2,0,0,0
I,EG-103,Desarrollo Personal,G1 (Practica),44444444,0,2,0,0
I,EG-104,Introducción al Análisis Matemático,G1 (Teoria),77777777,2,0,0,0
I,EG-104,Introducción al Análisis Matemático,G1 (Practica),77777777,0,4,0,0
I,EG-105,Estadística General,G1 (Teoria),99999999,2,0,0,0
I,EG-105,Estadística General,G1 (Practica),99999999,0,2,0,0
I,EG-105,Estadística General,G2 (Practica),88888888,0,2,0,0
I,EL-101,Técnicas de comunicación eficaz (e),G1 (Practica),70707070,0,2,0,0
I,EL-102,Taller de Música (e),G1 (Practica),70808080,0,2,0,0
I,EL-103,Taller de Liderazgo y trabajo en equipo (e),G1 (Practica),70909090,0,2,0,0
III,EE-301,Sistémica,G1 (Teoria),21212121,1,0,0,0
III,EE-301,Sistémica,G1 (Practica),21212121,0,2,0,0
III,EE-301,Sistémica,G3 (Laboratorio),21212121,0,0,2,0
III,EE-301,Sistémica,G1 (Laboratorio),21212121,0,0,2,0
III,EE-301,Sistémica,G2 (Laboratorio),21212121,0,0,2,0
III,EE-302,Programación Orientada a Objetos II,G1 (Teoria),20202020,2,0,0,0
III,EE-302,Programación Orientada a Objetos II,G3 (Laboratorio),20202020,0,0,4,0
III,EE-302,Programación Orientada a Objetos II,G1 (Laboratorio),20202020,0,0,4,0
III,EE-302,Programación Orientada a Objetos II,G2 (Laboratorio),20202020,0,0,4,0
III,EL-301,Ingeniería Gráfica (e),G1 (Teoria),22222223,1,0,0,0
III,EL-301,Ingeniería Gráfica (e),G1 (Practica),22222223,0,1,0,0
III,EL-301,Ingeniería Gráfica (e),G2 (Laboratorio),22222223,0,0,3,0
III,EL-301,Ingeniería Gráfica (e),G1 (Laboratorio),22222223,0,0,3,0
III,EL-302,Sicología Organizacional (e),G1 (Teoria),27272727,2,0,0,0
III,EL-302,Sicología Organizacional (e),G1 (Practica),27272727,0,2,0,0
III,EP-301,Administración General,G1 (Teoria),25252525,2,0,0,0
III,EP-301,Administración General,G1 (Practica),25252525,0,2,0,0
III,EP-302,Estadística Aplicada,G1 (Teoria),24242424,1,0,0,0
III,EP-302,Estadística Aplicada,G1 (Practica),24242424,0,2,0,0
III,EP-302,Estadística Aplicada,G1 (Laboratorio),24242424,0,0,2,0
III,EP-302,Estadística Aplicada,G3 (Laboratorio),24242424,0,0,2,0
III,EP-302,Estadística Aplicada,G2 (Laboratorio),24242424,0,0,2,0
III,EP-303,Matemática Aplicada,G1 (Teoria),23232323,1,0,0,0
III,EP-303,Matemática Aplicada,G1 (Practica),23232323,0,2,0,0
III,EP-303,Matemática Aplicada,G1 (Laboratorio),23232323,0,0,2,0
III,EP-304,Física Electrónica,G1 (Teoria),26262626,1,0,0,0
III,EP-304,Física Electrónica,G1 (Practica),26262626,0,4,0,0
III,EP-304,Física Electrónica,G2 (Laboratorio),26262626,0,0,2,0
III,EP-304,Física Electrónica,G1 (Laboratorio),26262626,0,0,2,0
III,EP-304,Física Electrónica,G3 (Laboratorio),26262626,0,0,2,0
III,EP-304,Física Electrónica,G4 (Laboratorio),26262626,0,0,2,0
V,EE-501,Tecnologías Web,G1 (Teoria),29292929,1,0,0,0
V,EE-501,Tecnologías Web,G1 (Practica),29292929,0,1,0,0
V,EE-501,Tecnologías Web,G3 (Laboratorio),29292929,0,0,3,0
V,EE-501,Tecnologías Web,G1 (Laboratorio),29292929,0,0,3,0
V,EE-501,Tecnologías Web,G2 (Laboratorio),29292929,0,0,3,0
V,EE-502,Ingeniería de Datos I,G1 (Teoria),28282828,2,0,0,0
V,EE-502,Ingeniería de Datos I,G1 (Practica),28282828,0,1,0,0
V,EE-502,Ingeniería de Datos I,G2 (Laboratorio),28282828,0,0,3,0
V,EE-502,Ingeniería de Datos I,G1 (Laboratorio),28282828,0,0,3,0
V,EE-502,Ingeniería de Datos I,G3 (Laboratorio),28282828,0,0,3,0
V,EE-503,Organización y Arquitectura de Computadoras,G1 (Teoria),30303030,1,0,0,0
V,EE-503,Organización y Arquitectura de Computadoras,G1 (Practica),30303030,0,2,0,0
V,EE-503,Organización y Arquitectura de Computadoras,G2 (Laboratorio),30303030,0,0,2,0
V,EE-503,Organización y Arquitectura de Computadoras,G3 (Laboratorio),30303030,0,0,2,0
V,EE-503,Organización y Arquitectura de Computadoras,G1 (Laboratorio),30303030,0,0,2,0
V,EE-504,Sistemas de Información,G1 (Teoria),22222223,2,0,0,0
V,EE-504,Sistemas de Información,G1 (Practica),22222223,0,2,0,0
V,EE-504,Sistemas de Información,G2 (Laboratorio),22222223,0,0,2,0
V,EE-504,Sistemas de Información,G1 (Laboratorio),22222223,0,0,2,0
V,EE-504,Sistemas de Información,G3 (Laboratorio),22222223,0,0,2,0
V,EL-501,Teleinformática (e),G1 (Teoria),31313131,1,0,0,0
V,EL-501,Teleinformática (e),G1 (Practica),31313131,0,2,0,0
V,EL-501,Teleinformática (e),G2 (Laboratorio),31313131,0,0,2,0
V,EL-501,Teleinformática (e),G1 (Laboratorio),31313131,0,0,2,0
V,EL-502,Transformación Digital (e),G1 (Teoria),21212121,2,0,0,0
V,EL-502,Transformación Digital (e),G1 (Laboratorio),21212121,0,0,2,0
V,EL-502,Transformación Digital (e),G2 (Laboratorio),21212121,0,0,2,0
V,EP-501,Contabilidad Gerencial,G1 (Teoria),33333334,1,0,0,0
V,EP-501,Contabilidad Gerencial,G1 (Practica),33333334,0,2,0,0
V,EP-501,Contabilidad Gerencial,G1 (Laboratorio),33333334,0,0,2,0
V,EP-502,Investigación de Operaciones,G1 (Teoria),32323232,1,0,0,0
V,EP-502,Investigación de Operaciones,G1 (Practica),32323232,0,2,0,0
V,EP-502,Investigación de Operaciones,G3 (Laboratorio),32323232,0,0,2,0
V,EP-502,Investigación de Operaciones,G2 (Laboratorio),32323232,0,0,2,0
V,EP-502,Investigación de Operaciones,G1 (Laboratorio),32323232,0,0,2,0
VII,EE-701,Gestión de Servicios de TIC,G1 (Teoria),22222222,1,0,0,0
VII,EE-701,Gestión de Servicios de TIC,G1 (Practica),22222222,0,2,0,0
VII,EE-701,Gestión de Servicios de TIC,G1 (Laboratorio),22222222,0,0,2,0
VII,EE-701,Gestión de Servicios de TIC,G2 (Laboratorio),22222222,0,0,2,0
VII,EE-702,Planeamiento Estratégico de la Información,G1 (Teoria),36363636,1,0,0,0
VII,EE-702,Planeamiento Estratégico de la Información,G1 (Practica),36363636,0,2,0,0
VII,EE-702,Planeamiento Estratégico de la Información,G3 (Laboratorio),36363636,0,0,2,0
VII,EE-702,Planeamiento Estratégico de la Información,G4 (Laboratorio),36363636,0,0,2,0
VII,EE-702,Planeamiento Estratégico de la Información,G2 (Laboratorio),36363636,0,0,2,0
VII,EE-702,Planeamiento Estratégico de la Información,G1 (Laboratorio),36363636,0,0,2,0
VII,EE-703,Redes y Comunicaciones I,G1 (Teoria),30303030,1,0,0,0
VII,EE-703,Redes y Comunicaciones I,G1 (Practica),30303030,0,1,0,0
VII,EE-703,Redes y Comunicaciones I,G2 (Laboratorio),30303030,0,0,3,0
VII,EE-703,Redes y Comunicaciones I,G3 (Laboratorio),30303030,0,0,3,0
VII,EE-703,Redes y Comunicaciones I,G1 (Laboratorio),30303030,0,0,3,0
VII,EE-704,Ingeniería del Software I,G1 (Teoria),34343434,2,0,0,0
VII,EE-704,Ingeniería del Software I,G1 (Practica),34343434,0,1,0,0
VII,EE-704,Ingeniería del Software I,G1 (Laboratorio),34343434,0,0,3,0
